paper_id,title,session,page_count,pdf_url,overall_reporting,training_compute,training_terms,training_evidence_clue,inference_compute,inference_terms,inference_evidence_clue,hardware_terms_anywhere,extraction_note
66,Learning When to Jump for Off-road Navigation,Session Navigation 1,11,https://www.roboticsproceedings.org/rss22/p066.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,10 Hz; 6 Hz,Since absolute values LiDAR-inertial odometry at 10 Hz.,Jetson Nano; onboard; edge device; NVIDIA; CUDA,Automatic full-text regex extraction; verify PDF for final claims.
67,OpenFrontier: General Navigation with Visual-Language Grounded Frontiers,Session Navigation 1,11,https://www.roboticsproceedings.org/rss22/p067.pdf,"Hardware mentioned, cost not tied to train/infer",Not reported,Not reported,,Not reported,Not reported,,RTX 4090; GPU; onboard,Automatic full-text regex extraction; verify PDF for final claims.
68,LongNav-R1: Horizon-Adaptive Multi-Turn RL for Long-Horizon VLA Navigation,Session Navigation 1,12,https://www.roboticsproceedings.org/rss22/p068.pdf,Training + inference reported,Explicit HW only,A100,"Both SFT and RL stages were trained JHAPO (θ) = E{τ } i B i min ρit Anorm,i t , clip(ρit , 1 − ...",Explicit HW + latency/rate,A100; 5 FPS,"Achieving about 5 FPS, the model can be deployed in practical real-world Fig.",A100; embedded; GPUs; server,Automatic full-text regex extraction; verify PDF for final claims.
69,SanD-Planner: Sample-Efficient Diffusion Planner in B-Spline Space for Robust Local Navigation,Session Navigation 1,12,https://www.roboticsproceedings.org/rss22/p069.pdf,Training + inference reported,Explicit HW only,1× RTX3090,"Method Training Data Training Time iPlanner 30k depth images 1× RTX3090 Ti, ≈ 20h ViPlanner 80k start-goal pairs 1× RTX3090, ≈ 6h NavDP 200k ...",Explicit HW + latency/rate,onboard; 8Hz,"Notably, despite training on only 500 trajec- DPM-Solver++ [56], achieving an operational frequency of tories (≈ 0.25% of the 200k trajectories used by NavDP), ...",1× RTX3090; 32× A100; RTX4090; onboard; desktop; NVIDIA; GPU; laptop,Automatic full-text regex extraction; verify PDF for final claims.
70,"TravSUITE: Traversability via Self-Supervised, Uncertainty-Aware IRL and Terrain Estimation",Session Navigation 1,13,https://www.roboticsproceedings.org/rss22/p070.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,CPU; GPU; 10hz; 5hz,"↑ state estimates, we are able to run our VFM voxel mapper to All Test 1 1.3936 0.1159 generate inertial-frame VFM voxel maps at ...",laptop; CPU; Nvidia; GPU,Automatic full-text regex extraction; verify PDF for final claims.
71,"HumanFlow - Diffusion-Driven MAV Navigation Among Humans via Tightly-Coupled Motion Tracking, Forecasting, and Control",Session Navigation 1,13,https://www.roboticsproceedings.org/rss22/p071.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 10 fps,"We use the SMPL-X neutral body model plied with probability 20%, masking contiguous body regions and downsample all sequences to 10 fps.",NVIDIA RTX A4000; onboard; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
72,Emergence of Human to Robot Transfer in Vision-Language-Action Models,Session Imitation learning 1,14,https://www.roboticsproceedings.org/rss22/p072.pdf,Training-side only/mostly,Explicit time only,7.45 hours,"Our analysis suggests that (7.45 hours) on a UR5 robot and evaluated transfer to an arx with sufficiently diverse pretraining, co-training alone can robot.",Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
73,PointACT: Vision-Language-Action Models with Multi-Scale Point-Action Interaction,Session Imitation learning 1,13,https://www.roboticsproceedings.org/rss22/p073.pdf,Training-side only/mostly,Explicit HW only,H100,"We use the same 10 RLBench tabletop manipula- Across our experimental benchmarks, the model is trained tion tasks as HybridVLA [42], including Close box, ...",Not reported,Not reported,,H100; laptop; NVIDIA; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
74,Steerable Vision-Language-Action Policies for Embodied Reasoning and Hierarchical Control,Session Imitation learning 1,14,https://www.roboticsproceedings.org/rss22/p074.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
75,$ extcolor{Maroon}{ extbf{ exttt{OAT}}}$: Ordered Action Tokenization,Session Imitation learning 1,13,https://www.roboticsproceedings.org/rss22/p075.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,NVIDIA A100,Results report mean success rates with in milliseconds (ms) per inference on one NVIDIA A100.,NVIDIA A100; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
76,Beyond Binary Success: Sample-Efficient and Statistically Rigorous Robot Policy Comparison,Session Imitation learning 1,13,https://www.roboticsproceedings.org/rss22/p076.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
77,mimic-video: Video-Action Models for Generalizable Robot Control Beyond VLAs,Session Imitation learning 1,14,https://www.roboticsproceedings.org/rss22/p077.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,RTX 4090; 470 ms,"RTX 4090 1.3 s H200 470 ms We thank Benjamin Estermann, Erik Bauer, German Ro- driguez, Sigmund Hennum Høeg, Irvin Totic, and Benedict Wüest ...",RTX 4090; embedded; GPU,Automatic full-text regex extraction; verify PDF for final claims.
78,TouchGuide: Inference-Time Steering of Visuomotor Policies via Touch Guidance,Session Imitation learning 1,13,https://www.roboticsproceedings.org/rss22/p078.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,onboard; CPU,An onboard RK3576 CPU runs gripper that collects tactile data without relying on proprio- the XenseSDK [62] to compute this force field online from ...,CPU; onboard,Automatic full-text regex extraction; verify PDF for final claims.
79,Visual Verification Enables Inference-time Steering and Autonomous Policy Improvement,Session Imitation learning 1,12,https://www.roboticsproceedings.org/rss22/p079.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,1 ms; 15 Hz,Sample diverse candidates incurs negligible overhead (< 1 ms) and runs online.,RTX 5090; TPU; workstation; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
80,Set-Supervised Diffusion Policy: Learning Action-Chunking Diffusion through Corrections,Session Imitation learning 1,11,https://www.roboticsproceedings.org/rss22/p080.pdf,Training-side only/mostly,Explicit HW + time,GPU; 12 hours,"for 12 hours with an Nvidia A40 GPU, after which each Additionally, SDP requires sampling desired action-chunks checkpoint is further trained for an additional ...",Not reported,Not reported,,Nvidia; GPU,Automatic full-text regex extraction; verify PDF for final claims.
81,X-DiffVLA: X-Embodied Diffusion Action Heads for Vision-Language-Action Models,Session VLA Models,11,https://www.roboticsproceedings.org/rss22/p081.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
82,SkillVLA: Tackling Combinatorial Diversity in Dual-Arm Manipulation via Skill Reuse,Session VLA Models,12,https://www.roboticsproceedings.org/rss22/p082.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
83,BagelVLA: Enhancing Long-Horizon Manipulation via Interleaved Vision-Language-Action Generation,Session VLA Models,22,https://www.roboticsproceedings.org/rss22/p083.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,RTX 5090; 40Hz; 72Hz,This mechanism enables keyframe input: BagelVLA to infer at a speed of 1.2 seconds per chunk on a  τ =0 τ 1 0 ...,RTX 5090; GPU; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
84,GuidedVLA: Specifying Task-Relevant Factors via Plug-and-Play Action Attention Specialization,Session VLA Models,14,https://www.roboticsproceedings.org/rss22/p084.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
85,AR-VLA: Autoregressive Action Expert for Vision–Language–Action Models,Session VLA Models,11,https://www.roboticsproceedings.org/rss22/p085.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,29ms; 70ms,"X-axis in seconds, y-axis in rad 29ms per action control frequency even when the perception backbone is capped at 70ms per frame.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
86,Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,Session VLA Models,12,https://www.roboticsproceedings.org/rss22/p086.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,NVIDIA; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
87,,Session VLA Models,13,https://www.roboticsproceedings.org/rss22/p087.pdf,Training + inference reported,Explicit HW + time,H100; 13 hours,"Pre-training and learning from experience iteration varies with task and dataset size; in our experiments, The data mixture used in the pre-training phase of ...",Explicit HW + latency/rate,H100; 150 ms,"On an H100 machine, end-to-end policy the per-task improvement threshold ↼ϱ as the 30th percentile inference latency is approximately 100-150 ms.",H100; GPU,Automatic full-text regex extraction; verify PDF for final claims.
88,StereoVLA: Enhancing Vision-Language-Action Models with Stereo Vision,Session VLA Models,13,https://www.roboticsproceedings.org/rss22/p088.pdf,Training + inference reported,Explicit HW only,GPUs,The final model is trained for 300k steps 3) Baselines: We select baselines to support two comple- on 32 NVIDIA H800 GPUs with a ...,Explicit latency/rate,14 ms; 54 ms; 27 ms; 70ms,"arXiv only 14 ms, reducing computation by 54 ms.",NVIDIA; GPUs; GPU,Automatic full-text regex extraction; verify PDF for final claims.
89,RLux-VLA: A Unified and Efficient Framework for Reinforcement Learning of Vision-Language-Action Models,Session VLA Models,12,https://www.roboticsproceedings.org/rss22/p089.pdf,Training + inference reported,Explicit HW only,GPU; CPU; GPUs,"To this end, we introduce a lightweight automatic GPU placement algorithm that combines runtime profiling with allocation optimization.",Explicit runtime HW,GPU,but it leads to GPU underutilization due to inter-component This scheduling allows Simulator and Generation to run dependencies.,GPU; CPU; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
90,Betting for Sim-to-Real Performance Evaluation,Session Datasets and Benchmarks,12,https://www.roboticsproceedings.org/rss22/p090.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
91,MolmoSpaces: Large-Scale Open Ecosystem for Robot Manipulation and Navigation,Session Datasets and Benchmarks,22,https://www.roboticsproceedings.org/rss22/p091.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,Dataset Total Pickupable Non-Pick Articulated Thor Objaverse MSCrafted MSProc MSProcObja MSMultiType ∼30 ∼72 ∼105 ∼150 ∼14 ∼34 ∼47 ∼61 ∼7 ∼31 ∼50 ∼77 ∼9 ...,GPU; CPU; NVIDIA; laptop; server; Laptop,Automatic full-text regex extraction; verify PDF for final claims.
92,EgoVerse: An Egocentric Human Dataset for Robot Learning from Around the World,Session Datasets and Benchmarks,21,https://www.roboticsproceedings.org/rss22/p092.pdf,Training + inference reported,Explicit HW + time,Jetson Orin; 2hr; 8hr,"21 root=f""/tmp/egoverse/{episode_hash}"", 22 mode=""train"", The controller runs on the Jetson Orin NX which is built 23 ) in to the G1 robot.",Explicit latency/rate,30 FPS,EgoVerse-I is designed to capture a wide variety of records egocentric RGB video using the ultrawide camera at demonstration-style tasks and behaviors across extremely ...,Jetson Orin; embedded; NVIDIA; onboard; server,Automatic full-text regex extraction; verify PDF for final claims.
93,GS-Playground: A High-Throughput Photorealistic Simulator for Vision-Informed Robot Learning,Session Datasets and Benchmarks,12,https://www.roboticsproceedings.org/rss22/p093.pdf,Training + inference reported,Explicit HW only,NVIDIA A100; RTX 4090,This perfor- Render Throughput Comparison (Ours vs IsaacSim) Ours / NVIDIA A100 Ours / RTX 6000 Ada Gen Ours / RTX 4090 Isaac / ...,Explicit HW + latency/rate,NVIDIA A100; RTX 4090; 03 FPS; 1.71 FPS; 000 FPS,This perfor- Render Throughput Comparison (Ours vs IsaacSim) Ours / NVIDIA A100 Ours / RTX 6000 Ada Gen Ours / RTX 4090 Isaac / ...,NVIDIA RTX 4090; NVIDIA RTX 5090; NVIDIA A100; RTX 4090; A100; NVIDIA RTX 3090; CPU; GPU; NVIDIA; GPUs; CUDA; onboard,Automatic full-text regex extraction; verify PDF for final claims.
94,"High Fidelity Capture, Reconstruction, and Transfer of Human Demonstrations for Robot-Assisted Bathing",Session Datasets and Benchmarks,11,https://www.roboticsproceedings.org/rss22/p094.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,120 fps; 6 Hz; 120 Hz,Frame Number (120 fps) Low High Low High Fig.,embedded,Automatic full-text regex extraction; verify PDF for final claims.
95,RoboVista: Evaluating Vision Language Models for Diverse Robot Applications,Session Datasets and Benchmarks,11,https://www.roboticsproceedings.org/rss22/p095.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,onboard,Each question is grounded in robot-visible or onboard 2 Application Scenes Robots (a) Perception (b) High-level Decision Making (c) Motion/Action Estimator State Estimator Meta-Policy ...,onboard; Onboard,Automatic full-text regex extraction; verify PDF for final claims.
96,RoboLab: A High-Fidelity Simulation Benchmark for Analysis of Task Generalist Policies,Session Datasets and Benchmarks,10,https://www.roboticsproceedings.org/rss22/p096.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,10 Hz,"Metrics for Evaluation We employ an adaptive cutoff frequency ϖc = min(10 Hz, ϖϑ ), While task success rate remains a fundamental metric, prior ...",nvidia; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
97,LIBERO-X: Robustness Litmus for Vision-Language-Action Models,Session Datasets and Benchmarks,10,https://www.roboticsproceedings.org/rss22/p097.pdf,Training + inference reported,Explicit HW only,L4,Multi-level Evaluation Multi-label Evaluation Name Simulator Date Training Data Testing Data L1 L2 L3 L4 L5 IT SC SR OA RoboMIND [34] Isaac Sim ...,Explicit latency/rate,20 Hz,"To ensure reproducibility, strict protocols were followed: state-action sequences were we recorded the initial state configurations, including the recorded at 20 Hz, where the ...",L4; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
98,OopsieVerse: A Safety Benchmark with Damage-Aware Simulation for Robot Manipulation,Session Datasets and Benchmarks,11,https://www.roboticsproceedings.org/rss22/p098.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"In contrast, policies trained on data leveraging the policy to complete tasks while minimizing damage across OOPSIEVERSE’s damage signal—whether through real-time all modalities.",Nvidia; laptop; NVIDIA; nvidia,Automatic full-text regex extraction; verify PDF for final claims.
99,FlashSAC: Fast and Stable Off-Policy Reinforcement Learning for High-Dimensional Robot Control,Session Control & Dynamics,14,https://www.roboticsproceedings.org/rss22/p099.pdf,Training + inference reported,Explicit time only,20 minutes; 3 hours; 4 hours; 20 hours,"Scaling Ablation for Faster Training 20 minutes of training, whereas PPO requires about 3 hours to reach comparable performance.",Explicit runtime HW,RTX 5090,"Exploration We evaluate F LASH SAC on a diverse suite of robotic control tasks, measuring both asymptotic performance and wall-clock Off-policy RL can decouple ...",RTX 5090; GPU; CPU,Automatic full-text regex extraction; verify PDF for final claims.
100,Realizing Robotic Swimming with Unified Fluid-Robot Multiphysics,Session Control & Dynamics,12,https://www.roboticsproceedings.org/rss22/p100.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,1 hz; 100 Hz,"6, we simulate a swimming pool of 1 hz with a wavelength equal to the length of the robot body.",onboard; CPU; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
101,Grounding Discrete-Time Joint-Level Acceleration Bounds in Voltage-Constrained Actuation,Session Control & Dynamics,10,https://www.roboticsproceedings.org/rss22/p101.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,We rely on two mild assumptions to enable real-time evaluation of acceleration bounds from voltage constraints: B.,Not found,Automatic full-text regex extraction; verify PDF for final claims.
102,cuNRTO: GPU-Accelerated Nonlinear Robust Trajectory Optimization,Session Control & Dynamics,11,https://www.roboticsproceedings.org/rss22/p102.pdf,Training + inference reported,Explicit HW only,CPU; GPU,"As single-core CPU the Nonlinear Robust Trajectory Optimization (NRTO) frame- performance has largely plateaued, the robotics community work [19].",Explicit HW + latency/rate,GPU; 25 ms,All experiments use time- observe 100% constraint satisfaction across all reported τ val- step ∆k = 25 ms for both optimization and rollout.,NVIDIA A100; CUDA; CPU; GPU; workstation; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
103,Safe Large-Scale Robust Nonlinear MPC in Milliseconds via Reachability-Constrained System Level Synthesis on the GPU,Session Control & Dynamics,12,https://www.roboticsproceedings.org/rss22/p103.pdf,Training + inference reported,Explicit HW only,GPU,"This optimization is likewise GPU-parallelized via PASs, yielding closed-loop response matrices !",Explicit latency/rate,50 Hz; 16ms; 73 ms,The robot successfully navigates robustly around an obstacle in real-time at 50 Hz.,NVIDIA RTX 4090; GPU; CPU; GPUs; embedded; desktop; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
104,Bellman Value Decomposition for Task Logic in Safe Optimal Control,Session Control & Dynamics,13,https://www.roboticsproceedings.org/rss22/p104.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,embedded,Automatic full-text regex extraction; verify PDF for final claims.
105,asRoBallet: Closing the Sim2Real Gap via Friction-Aware Reinforcement Learning for Underactuated Spherical Dynamics,Session Control & Dynamics,10,https://www.roboticsproceedings.org/rss22/p105.pdf,Training + inference reported,Explicit HW + time,workstation; CPU; 2.5 hours,"Training was performed on a per dimension, yielding workstation with an Intel Core i9-13900KF CPU; the wall- clock training time was approximately 2.5 hours.",Explicit HW + latency/rate,Jetson Orin; 1.2 ms; 100 Hz,"The average latency was approximately 1.2 ms under common us- age conditions, measured over a 100 s communication session at 100 Hz, as shown ...",Jetson Orin; workstation; CPU; embedded,Automatic full-text regex extraction; verify PDF for final claims.
106,Stabilizing 3D Continuum-Arm Rollouts via Equilibrium Anchoring and Feature-Lifted Residual Learning,Session Control & Dynamics,10,https://www.roboticsproceedings.org/rss22/p106.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,1 Hz; 0.25 Hz; 0.5 Hz,to 0.5 and 1 Hz while keeping the PWM level fixed.,embedded,Automatic full-text regex extraction; verify PDF for final claims.
107,Learning-Based Adaptive Control for Surgical Robotic Exposure Task on Deformable Tissues,Session Control & Dynamics,11,https://www.roboticsproceedings.org/rss22/p107.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"The dataset was partitioned into Moreover, the model exhibits lower error under small displace- training and validation sets in a 9:1 ratio, and additional ...",Not found,Automatic full-text regex extraction; verify PDF for final claims.
108,Variance-Reduced Model Predictive Path Integral via Quadratic Model Approximation,Session Control & Dynamics,11,https://www.roboticsproceedings.org/rss22/p108.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,50 ms,Using the same parameters step of 50 ms.,Not found,Automatic full-text regex extraction; verify PDF for final claims.
109,Tempered Sequential Monte Carlo for Trajectory and Policy Optimization with Differentiable Dynamics,Session Control & Dynamics,12,https://www.roboticsproceedings.org/rss22/p109.pdf,Training + inference reported,Explicit HW only,GPU,"While TSMC is naturally parallelizable across particles, it can be computationally and memory intensive: differentiating through rollouts can be slow, and maintaining many particles ...",Explicit runtime HW,CPU,"(25) λ restricting x0 to a finite set of initial samples, we update the auxiliary batch using a Metropolis–Hastings refresh can be slow, we ...",CPU; workstation; NVIDIA; GPUs; GPU,Automatic full-text regex extraction; verify PDF for final claims.
110,TinySDP: Real Time Semidefinite Optimization for Certifiable and Agile Edge Robotics,Session Control & Dynamics,11,https://www.roboticsproceedings.org/rss22/p110.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 25 Hz; 14.842 ms; 25.2 ms; 40 ms; 500 Hz,The solver runs onboard at 25 Hz with a 20-step hori- zon.,embedded; onboard,Automatic full-text regex extraction; verify PDF for final claims.
111,High Precision Hydraulic Excavator Control for Heavy Duty Grading,Session Control & Dynamics,10,https://www.roboticsproceedings.org/rss22/p111.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 10 Hz,It maps 10 Hz with horizon length 𝑁 = 20.,onboard; Onboard,Automatic full-text regex extraction; verify PDF for final claims.
112,Automated Synthesis of Facial Mechanisms for Conversational Animatronic Robots,Session HRI,14,https://www.roboticsproceedings.org/rss22/p112.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,Jetson AGX; 30 Hz; 3.19 FPS,"These examples demonstrate that nicates via the I2 C protocol with cascaded PCA9685 PWM our automatic design flow can handle large geometric vari- drivers, ...",Jetson AGX; Onboard; NVIDIA; onboard,Automatic full-text regex extraction; verify PDF for final claims.
113,Social Human Robot Embodied Conversation (SHREC) Dataset: Benchmarking Foundational Models’ Social Reasoning,Session HRI,13,https://www.roboticsproceedings.org/rss22/p113.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,1 Hz,"of current VLM evaluation (1 Hz frame sampling), which can under-represent fine-grained timing cues (e.g., micro-pauses, C.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
114,CANINE: Coaching Visually Impaired Users for Interactive Navigation with a Robot Guide Dog,Session HRI,13,https://www.roboticsproceedings.org/rss22/p114.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,Jetson AGX; Jetson coaching,"Given the observation quadruped robot equipped with Jetson AGX Orin for onboard trajectory, we uniformly sample key frames and apply ht = computation, Hesai ...",Jetson Orin; Jetson AGX; Jetson coaching; onboard,Automatic full-text regex extraction; verify PDF for final claims.
115,QuickLAP: Quick Language–Action Preference Learning for Autonomous Driving Agents,Session HRI,13,https://www.roboticsproceedings.org/rss22/p115.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"Our feedback, robustly handles ambiguity, and supports real-time method fuses it with physical feedback in real time, yielding a adaptation.",CPU,Automatic full-text regex extraction; verify PDF for final claims.
116,Robots That Know What to Ask: Recovering Misaligned Rewards through Targeted Explanations,Session HRI,12,https://www.roboticsproceedings.org/rss22/p116.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,laptop,Automatic full-text regex extraction; verify PDF for final claims.
117,"Embodiment Meets Environment: Toward Context-Aware, Safe Physical Caregiving Robots",Session HRI,12,https://www.roboticsproceedings.org/rss22/p117.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,GPU; CPU; 32GB,"In the collaborative cooking has negligible overhead (1.5 ± 0.3) × 10−4 s, remaining under scenario, our method maintains high ratings across all di- ...",workstation; GPU; CPU,Automatic full-text regex extraction; verify PDF for final claims.
118,Beyond Failure Recovery: An Engagement-Aware Human-in-the-loop Framework for Robotic Systems,Session HRI,11,https://www.roboticsproceedings.org/rss22/p118.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
119,Knowing When Not to Help: Active Estimation of Human Reachability for Just-Right Robot Assistance,Session HRI,12,https://www.roboticsproceedings.org/rss22/p119.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,1 Hz,Inference ran in real active update cycle to maintain well-calibrated assistance over time at 178 ± 1 Hz throughout.,Not found,Automatic full-text regex extraction; verify PDF for final claims.
120,"A Minimal, Deterministic Approach to Shared Control for Safe Powered Wheelchair Driving",Session HRI,12,https://www.roboticsproceedings.org/rss22/p120.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,40 Hz; 10 Hz,We run REACT at 40 Hz.,laptop,Automatic full-text regex extraction; verify PDF for final claims.
121,R2RGen: Real-to-Real 3D Data Generation for Spatially-generalized Robotic Manipulation,Session Manipulation 3,11,https://www.roboticsproceedings.org/rss22/p121.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
122,DexGrasp-Zero: A Morphology-Aligned Policy for Zero-Shot Cross-Embodiment Dexterous Grasping,Session Manipulation 3,11,https://www.roboticsproceedings.org/rss22/p122.pdf,Training + inference reported,Explicit HW only,NVIDIA RTX 3090,We train all policies with PPO [19] and scalar that directly controls the corresponding DoF (with the on a NVIDIA RTX 3090 GPU for ...,Explicit HW + latency/rate,NVIDIA RTX 3090; 20 Hz,"Inference runs on a single cross-hand transfer under a standard single-hand benchmark, NVIDIA RTX 3090 GPU at 20 Hz.",NVIDIA RTX 3090; NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
123,Minimalist Compliance Control,Session Manipulation 3,12,https://www.roboticsproceedings.org/rss22/p123.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,10 ms; 12 ms; 50 Hz,"We report per step, with about 10 ms spent in the IK solver [49].",Jetson Orin,Automatic full-text regex extraction; verify PDF for final claims.
124,One Hand to Rule Them All: Canonical Representations for Unified Dexterous Manipulation,Session Manipulation 3,10,https://www.roboticsproceedings.org/rss22/p124.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
125,AxisGuide: Grounding Robot Action Coordinate System in RGB Observations for Robust Visuomotor Manipulation,Session Manipulation 3,11,https://www.roboticsproceedings.org/rss22/p125.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
126,Learning Deformable Object Manipulation Using Task-Level Iterative Learning Control,Session Manipulation 3,12,https://www.roboticsproceedings.org/rss22/p126.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,[28] applies norm-optimal methods for real-time control easy to detect and measure and occurs before our rope tracking of industrial gantry robots.,Not found,Automatic full-text regex extraction; verify PDF for final claims.
127,CLAMP: Contrastive Learning for 3D Multi-View Action-Conditioned Robotic Manipulation Pretraining,Session Manipulation 3,13,https://www.roboticsproceedings.org/rss22/p127.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
128,Force Policy: Learning Hybrid Force-Position Control Policy under Interaction Frame for Contact-Rich Manipulation,Session Manipulation 3,11,https://www.roboticsproceedings.org/rss22/p128.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,RTX 3090; 50Hz; 5Hz,Πglobal is responsible for global perception are first interpolated to a unified frequency of 50Hz.,RTX 3090; server; NVIDIA; GPU; workstation,Automatic full-text regex extraction; verify PDF for final claims.
129,ViTacFormer: Learning Cross-Modal Representation for Visuo-Tactile Dexterous Manipulation,Session Manipulation 3,11,https://www.roboticsproceedings.org/rss22/p129.pdf,Training + inference reported,Explicit HW only,GPUs,We train each task using 50 expert demon- Metrics We evaluate the algorithms with two established strations on 2 NVIDIA H20 GPUs.,Explicit latency/rate,10Hz,"During de- ployment, the policy runs at 10Hz, and we apply temporal B.",embedded; NVIDIA; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
130,Galilean State Estimation for Inertial Navigation Systems with Unknown Time Delay,Session Navigation 2,10,https://www.roboticsproceedings.org/rss22/p130.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,0 ms; 100 ms; 200 ms; 300 ms; 500 ms; 200 Hz,w/o delay: delay fixed to 0 ms.,Not found,Automatic full-text regex extraction; verify PDF for final claims.
131,Learning to Localize Reference Trajectories in Image-Space for Visual Navigation,Session Navigation 2,11,https://www.roboticsproceedings.org/rss22/p131.pdf,Training + inference reported,Explicit HW only,NVIDIA RTX 5090; Jetson Orin,We train on a single NVIDIA RTX 5090 for the robot per trajectory for each evaluation setup.,Explicit HW + latency/rate,Jetson Orin; RTX 5090; 22 Hz; 15 ms; 6 ms; 160 Hz,"The system is lightweight (∼ 22 Hz on such as quadrupeds or drones to go to any point on the trajectory, from any Jetson ...",Jetson Orin; NVIDIA RTX 5090; RTX 5090; embedded; NVIDIA; desktop; onboard; Onboard,Automatic full-text regex extraction; verify PDF for final claims.
